"method","results"
"ols",22.873182435037
"p0.05",22.4938017191158
"p0.15",21.9817770234789
"step.aic",22.2764108379344
"step.bic",21.6870733279041
"ridge",20.7184479058527
"lasso.min",20.5967453711468
"lasso.1se",20.9792731673957
"enet.min",20.5442463443598
"enet.1se",21.1982393111066
"ols",24.3634681020932
"p0.05",25.2715741842974
"p0.15",24.6679363463533
"step.aic",25.347622912432
"step.bic",25.2715741842974
"ridge",22.3252886264673
"lasso.min",23.3528773137269
"lasso.1se",21.2027793938824
"enet.min",23.008112446627
"enet.1se",21.6363942432285
"ols",21.8488622533559
"p0.05",19.5421832689082
"p0.15",21.1709794064992
"step.aic",21.4565154886928
"step.bic",20.3068231968623
"ridge",20.2314719668238
"lasso.min",20.071636938664
"lasso.1se",19.7580471019506
"enet.min",20.144784700225
"enet.1se",19.778015439595
"ols",19.6531669048621
"p0.05",19.5704482138966
"p0.15",20.0766478044097
"step.aic",19.8520641890085
"step.bic",20.2391904878772
"ridge",18.8985515711422
"lasso.min",19.0973053308575
"lasso.1se",19.9389586816304
"enet.min",18.9375182164898
"enet.1se",20.0816958109291
"ols",21.7472560207508
"p0.05",19.7933583298566
"p0.15",20.4371117707588
"step.aic",22.6421928931277
"step.bic",19.0036935571028
"ridge",18.2890137864253
"lasso.min",19.3136432989681
"lasso.1se",17.9254248623634
"enet.min",17.7810078344097
"enet.1se",17.2589870594236
"ols",22.7855104169804
"p0.05",24.3805493254244
"p0.15",23.313048865687
"step.aic",24.9839699159631
"step.bic",24.3805493254244
"ridge",21.7502463910355
"lasso.min",23.6820796292701
"lasso.1se",25.0424832600326
"enet.min",21.7931836361546
"enet.1se",24.3425898097068
"ols",14.2369151320523
"p0.05",15.2993444912888
"p0.15",15.4923618442344
"step.aic",15.3562436165927
"step.bic",15.9293506791356
"ridge",13.9176274000544
"lasso.min",14.6278558605715
"lasso.1se",15.3089658828788
"enet.min",14.4481940623035
"enet.1se",15.1430625686666
"ols",30.0814798603557
"p0.05",28.843291596495
"p0.15",29.5015304489159
"step.aic",30.5344171001885
"step.bic",28.9997457743615
"ridge",27.0876944988223
"lasso.min",27.733725893504
"lasso.1se",25.513745613448
"enet.min",27.733725893504
"enet.1se",25.513745613448
"ols",21.2657393865352
"p0.05",22.2449780655511
"p0.15",23.1355307074054
"step.aic",21.8385397505949
"step.bic",22.5355686192834
"ridge",20.8043989809137
"lasso.min",22.6537568513888
"lasso.1se",23.6695778857477
"enet.min",20.908586517585
"enet.1se",23.4500137900478
"ols",20.5886289142062
"p0.05",22.5141465949153
"p0.15",22.8592768517753
"step.aic",21.9900958030001
"step.bic",21.7233259285651
"ridge",19.2390448423321
"lasso.min",20.7037787645978
"lasso.1se",22.5155202213993
"enet.min",20.5353694432725
"enet.1se",22.6313629862977
"ols",17.4453016488975
"p0.05",18.7014189766298
"p0.15",18.3168928290009
"step.aic",17.6882209671738
"step.bic",17.9877215360805
"ridge",16.1423299509942
"lasso.min",16.662639069375
"lasso.1se",17.287547172283
"enet.min",16.3826849216642
"enet.1se",17.4470458986625
"ols",12.6658556204567
"p0.05",15.3034063395081
"p0.15",15.8078050522463
"step.aic",14.6300963483299
"step.bic",16.41690892947
"ridge",14.8230186270156
"lasso.min",16.7471687012239
"lasso.1se",19.136468860587
"enet.min",16.7471687012239
"enet.1se",19.136468860587
"ols",18.5198871613437
"p0.05",20.3540253916261
"p0.15",19.2559251226488
"step.aic",19.7762970778207
"step.bic",20.4088636054371
"ridge",18.3837110743894
"lasso.min",19.0000766953457
"lasso.1se",21.2673809359708
"enet.min",18.6069107517292
"enet.1se",21.1344540081439
"ols",15.8561467157219
"p0.05",16.8040508422251
"p0.15",15.851345365612
"step.aic",17.1626307831247
"step.bic",15.7370701380597
"ridge",15.3251900750173
"lasso.min",15.8532094917993
"lasso.1se",17.6098492442835
"enet.min",15.3132255993802
"enet.1se",17.4605630388974
"ols",17.8645878773084
"p0.05",18.0051681653045
"p0.15",19.4839826708324
"step.aic",18.7537042279017
"step.bic",17.346367527983
"ridge",16.7677245429296
"lasso.min",16.8785308847739
"lasso.1se",21.2948345617689
"enet.min",16.7865338434821
"enet.1se",21.0568533118995
"ols",19.4251080836584
"p0.05",18.4709871502754
"p0.15",21.5723597439434
"step.aic",21.6283264582759
"step.bic",20.0459900906748
"ridge",17.914226822261
"lasso.min",18.6368489464624
"lasso.1se",18.3828959369498
"enet.min",18.4072765579471
"enet.1se",18.5223745100233
"ols",17.6548843056917
"p0.05",14.6975367823597
"p0.15",14.8793417312542
"step.aic",17.2036700206537
"step.bic",14.2109546196468
"ridge",14.9966785604896
"lasso.min",13.9752126442876
"lasso.1se",14.3367842774128
"enet.min",14.8311574114135
"enet.1se",14.9176406003522
"ols",19.1053049687767
"p0.05",16.8412844083917
"p0.15",19.3360765457688
"step.aic",19.1641199974631
"step.bic",18.8945500789838
"ridge",17.2800714276863
"lasso.min",17.8781670773784
"lasso.1se",19.6021971837277
"enet.min",17.2505593528181
"enet.1se",19.2995876296068
"ols",18.1624040762694
"p0.05",19.3446407953924
"p0.15",19.2672825021348
"step.aic",19.33722838665
"step.bic",20.1767337684813
"ridge",17.3241476516376
"lasso.min",19.1623009551551
"lasso.1se",19.6099804149053
"enet.min",19.1623009551551
"enet.1se",19.6099804149053
"ols",17.2517509428819
"p0.05",18.8929641614165
"p0.15",19.8884924902966
"step.aic",18.7249627241783
"step.bic",17.857385098013
"ridge",16.7394266299466
"lasso.min",18.3172603289565
"lasso.1se",19.523945534522
"enet.min",16.8068718415134
"enet.1se",19.0947514826421
"ols",17.3460610751111
"p0.05",14.5447636046111
"p0.15",16.0288192905286
"step.aic",17.4737841369513
"step.bic",14.3466451710064
"ridge",14.1466497990261
"lasso.min",13.8441509459455
"lasso.1se",14.8820374700176
"enet.min",14.0048513952998
"enet.1se",14.8849521579427
"ols",22.6375516876611
"p0.05",23.0442168945736
"p0.15",22.892414579373
"step.aic",22.7672375792985
"step.bic",23.7124920852728
"ridge",21.4538458689117
"lasso.min",22.4937512589526
"lasso.1se",24.000678043759
"enet.min",22.4937512589526
"enet.1se",24.000678043759
"ols",17.0856165728085
"p0.05",18.7350769169387
"p0.15",17.4054353081472
"step.aic",18.7272426556689
"step.bic",18.9560383863796
"ridge",16.9252993093837
"lasso.min",18.6136399914937
"lasso.1se",19.8831548033919
"enet.min",18.6136399914937
"enet.1se",19.8831548033919
"ols",13.6268144024471
"p0.05",10.933035515224
"p0.15",12.4217890207049
"step.aic",14.7338893773634
"step.bic",10.9618909855754
"ridge",12.0153467601976
"lasso.min",11.3491890937433
"lasso.1se",14.9139961544624
"enet.min",12.0300844601019
"enet.1se",14.9139961544624
"ols",21.0463817631284
"p0.05",23.2756740484359
"p0.15",23.1819342902292
"step.aic",21.7693173546928
"step.bic",22.8359099460144
"ridge",20.2747172451354
"lasso.min",21.5541883177061
"lasso.1se",21.9138123689653
"enet.min",21.5541883177061
"enet.1se",21.9138123689653
"ols",19.6760024748973
"p0.05",20.0481500783328
"p0.15",20.3412438029286
"step.aic",19.5449546641734
"step.bic",19.1217566684285
"ridge",18.7613779614559
"lasso.min",18.6253204890963
"lasso.1se",19.9795658723858
"enet.min",18.7529874658645
"enet.1se",19.6016008892989
"ols",24.105079592528
"p0.05",26.4883422068921
